"Story","Title","Result","Date","Stability","Duration (s)"
"Category","POST - Create Category","SUCCESS","2022-12-23T16:25:51.7012376+07:00[Asia/Jakarta]","0.0","4.35"
"Category","DEL - Delete Category","SUCCESS","2022-12-23T16:25:56.0625178+07:00[Asia/Jakarta]","0.0","0.24"
"Category","GET - Get all Category","SUCCESS","2022-12-23T16:25:56.3073635+07:00[Asia/Jakarta]","0.0","0.24"
"Category","GET - Get Category Id","SUCCESS","2022-12-23T16:25:56.5615856+07:00[Asia/Jakarta]","0.0","0.23"
"Category","PUT - Update Category","SUCCESS","2022-12-23T16:25:56.7989529+07:00[Asia/Jakarta]","0.0","0.21"
"Course","POST - As instructor Create new Course","SUCCESS","2022-12-23T16:25:51.9041132+07:00[Asia/Jakarta]","0.0","5.27"
"Course","DEL - As instructor Delete Course","SUCCESS","2022-12-23T16:25:57.1876183+07:00[Asia/Jakarta]","0.0","0.61"
"Course","GET - As instructor get all course","SUCCESS","2022-12-23T16:25:57.8063754+07:00[Asia/Jakarta]","0.0","0.36"
"Course","GET - As instructor get course ID","SUCCESS","2022-12-23T16:25:58.1721732+07:00[Asia/Jakarta]","0.0","0.43"
"Course","PUT - As instructor update course","SUCCESS","2022-12-23T16:25:58.6093449+07:00[Asia/Jakarta]","0.0","0.78"
"Manage Costumer who enrolled in the course","GET - Enroll costumer","FAILURE","2022-12-23T16:25:51.8841249+07:00[Asia/Jakarta]","0.0","3.68"
"Manage Costumer who enrolled in the course","PUT - Update enroll","FAILURE","2022-12-23T16:25:55.5818149+07:00[Asia/Jakarta]","0.0","0.28"
